,Full_Names,Gender
3335,Đinh Thị Minh Tuyết,0
3336,Nguyễn Văn Bình,1
3337,Nguyễn Ngọc Minh Thư,0
3338,Huỳnh Đại Cương,1
3339,Ngô Quốc Nhu,1
3340,Lê Thúy Duy,0
3341,Mã Thành Nam,1
3342,Đỗ Thanh Mai,0
3343,Nguyễn Thị Ngọc Huyền,0
3344,Võ Thị Thanh Thịnh,0
3345,Nguyễn Tấn Huy,1
3346,Đỗ Thị Bảo Như,0
3347,Nguyễn Công Bảo,1
3348,Phạm Như Ý,0
3349,Cao Lê Minh Thi,0
3350,Lương Danh Quỳnh,0
3351,Trần Minh Nhựt,1
3352,Nguyễn Trọng Huấn,1
3353,Lê Văn Hảo,1
3354,Lê Kim Phụng,0
3355,Võ Thảo Vy,0
3356,Lê Võ Hoàng My,0
3357,Nguyễn Quang Duy,1
3358,Lê Thị Lan Thanh,0
3359,Đặng Thị Thanh Hoàng,0
3360,Phan Thị Thu Sang,0
3361,Nguyễn Anh Hào,1
3362,Trần Văn Cường,1
3363,Lê Đình Thành,1
3364,Mạc Thị Kim Chi,0
3365,Nguyễn Thị Bích Huyền,0
3366,Nguyễn Minh Huy,1
3367,Nguyễn Thị Vân Anh,0
3368,Võ Hoàng Anh Phụng,0
3369,Vũ Thùy Trinh,0
3370,Hồ Việt Hải,1
3371,Đào Thị Khánh Ngọc,0
3372,Nguyễn Nhựt Khang,1
3373,Hoàng Thành Nhân,1
3374,Danh Thiệt Dal,1
3375,Nguyễn Văn Phú,1
3376,Nguyễn Thị Thanh Hằng,0
3377,Lâm Thị Mỹ Ngọc,0
3378,Đặng Văn Xuân Hương,1
3379,Phạm Ngọc Khiêm,1
3380,Tống Thị Ngọc Hòa,0
3381,Đoàn Thị Ngọc Mai,0
3382,Phạm Thanh Bình,1
3383,Huỳnh Quí,1
3384,Trần Minh Cường,1
3385,Nguyễn Thành Khoa,1
3386,Nguyễn Thị Quỳnh Chi,0
3387,Nguyễn Thị Minh Châu,0
3388,PhạmTrung Hậu,1
3389,Nguyễn Thành Đạt,1
3390,Hoàng Trọng Nghĩa,1
3391,Nguyễn Minh Hưng,1
3392,Nguyễn Hải Đăng,1
3393,Võ Lệ Thao,0
3394,Nguyễn Thị Ngọc Như,0
3395,Nguyễn Long Sơn,1
3396,Võ Thị Thùy Tiên,0
3397,Nguyễn Đình Kỳ,1
3398,Đào Thị Mỹ Hạnh,0
3399,Lê Thành An,1
3400,Nguyễn Thị Mỹ Hạnh,0
3401,Lê Đoàn,1
3402,Phan Ngọc Ny Ny,0
3403,Nguyễn Thị Lê Vy,0
3404,Tô Công Hậu,1
3405,Nguyễn Thị Thùy Trang,0
3406,Bồ Thanh Vĩnh,1
3407,Nguyễn Quốc Huy,1
3408,Hoàng Gia Linh,1
3409,Khương Thị Mỹ Linh,0
3410,Trương Thị Mỹ Duyên,0
3411,Nguyễn Văn Nhật,1
3412,Đặng Trần Anh Khoa,1
3413,Bùi Tấn Tình,1
3414,Ngô Đình Quỳnh Như,0
3415,Bùi Thị Thanh Nguyệt,0
3416,Tạ Thị An Tâm,0
3417,Đặng Ngọc Duy,1
3418,Nguyễn Thị Phương Thảo,0
3419,Nguyễn Thị Thúy Nga,0
3420,Trương Thị NhẪn,0
3421,Trần Trung Thảo Tuyết Trinh,0
3422,Võ Thành Thân,1
3423,Nguyễn Trần Nhật Nam,1
3424,Hồ Huỳnh Sơn,1
3425,Nguyễn Thành Thông,1
3426,Nguyễn Hữu Trọng,1
3427,Hà Huy Khôi,1
3428,Trần Mỹ Hạnh,0
3429,Tô Văn Hưng,1
3430,Trần Tuấn Anh,1
3431,Phan Thị Yến Phương,0
3432,Phan Thị Kim Chi,0
3433,Ngô Thị Huyền,0
3434,Hoàng Văn Thắng,1
3435,Võ Huy Hoàng,1
3436,Nguyễn Anh Khôi,1
3437,Nguyễn Quang Hải,1
3438,Nguyễn Đình Bắc,1
3439,Nguyễn Vĩ Kha,1
3440,Văn Quốc Huy,1
3441,Nguyễn Thị Thanh Nga,0
3442,Nguyễn Thị Hậu,0
3443,Nguyễn Duy Cương,1
3444,Nguyễn Hồng Hiền,0
3445,Huỳnh Thị Kim Ngọc,0
3446,Lê Đại Dương,1
3447,Trần Hải Đăng,1
3448,Nguyễn Thị Huyền Trâm,0
3449,Trương Tấn Huy,1
3450,Phạm Thị Thùy Dung,0
3451,Phạm Thế Hùng,1
3452,Trần Hữu Phước,1
3453,Lê Nguyễn Tường Vy,0
3454,Phạm Hoàng Phượng Trinh,0
3455,Trịnh Thị Thu Thảo,0
3456,Võ Thị Mỹ Duyên,0
3457,Nguyễn Thị Vi Chi,0
3458,Nguyễn Thị Như Ý,0
3459,Trần Minh Tuấn,1
3460,Đạo Thị Nhật Ngọc,0
3461,Trần Thị Sa,0
3462,Lê Thanh Lương,0
3463,Nguyễn Minh Đoàn,1
3464,Trần Thị Kiều Trang,0
3465,Nguyễn Thị Anh Thư,0
3466,Võ Văn Minh,1
3467,Phùng Thị Hạ Thi,0
3468,Lê Thị Huyên,0
3469,Huỳnh Nguyễn Quang Tín,1
3470,Nguyễn Ngọc Ánh,0
3471,Lê Thị Huyền My,0
3472,Đinh Hoàng Bảo,1
3473,Phạm Văn Sang,1
3474,Trần Phạm Tiến Phương,1
3475,Triều Quốc Đạt,1
3476,Thái Đức Sơn,1
3477,Võ Văn Thành,1
3478,Đỗ Thành Thắng,1
3479,Thành Thị Mỹ Thanh,0
3480,Nguyễn Minh Đạt,1
3481,Nguyễn Vũ Mỹ Anh,1
3482,Nguyễn Thị Như Ý,0
3483,Nguyễn Tiến Khang,1
3484,Nguyễn Tuấn Vinh,1
3485,Phan Thị ánh Nguyệt,0
3486,Lê Hải Lăng,1
3487,Nguyễn Hoàng Anh,1
3488,Bùi Thị Thùy Trang,0
3489,Phan Nguyễn Hoàng Long,1
3490,Nguyễn Thị Thúy Hồng,0
3491,Phạm Thị Ngọc Hà,0
3492,Trần Hoài Thanh,1
3493,Vũ Thị Quỳnh Nhung,0
3494,Tăng Thị Tính,0
3495,Phạm Duy Thanh,1
3496,Nguyễn Đình Khang,1
3497,Đặng Thị Như Quỳnh,0
3498,Trần Huỳnh Phục,1
3499,Triệu Kim Ngân,0
3500,Nguyễn Tấn Hào,1
3501,Lê Hoàn Sinh,1
3502,Võ Văn ĐẴng,1
3503,PhạmNguyễn Tâm Thi,1
3504,Tống An Hoài,1
3505,Nguyễn Đặng Phương Nam,1
3506,Nguyễn Tiến Đức,1
3507,Hà Ngọc Anh Thư,0
3508,Võ Thị Thanh Nhàn,0
3509,Trần Đi Nh Thông,1
3510,K Đông,1
3511,Trần Dương Kha,1
3512,Nguyễn Thiện Dương,1
3513,Đạo Ngọc Dũng Thu,1
3514,Nguyễn Thị Khánh Hằng,0
3515,Nguyễn Thanh Tùng,1
3516,Nguyễn Văn Hoài,1
3517,Đinh Đức Tâm,1
3518,TriệuLan Hương,0
3519,Tạ Quang Hiển,1
3520,Nguyễn Trung Kiên,1
3521,Dương Lê Thanh Trúc,0
3522,Đào Hoài Lưu,1
3523,Bùi Thị Mỹ Tiên,0
3524,Nguyễn Thị Diệu,0
3525,Nguyễn Tuấn Anh,1
3526,Phan Thành Trung,1
3527,Nguyễn Bá Lượng,1
3528,Giang Thị Bội Quân,0
3529,Hoàng Thị Thùy Dương,0
3530,Phùng Thị HẬu,0
3531,Phạm Thị Thu Trinh,0
3532,Nguyễn Hoàng Phi,1
3533,Trương Thị Kiều,0
3534,Huỳnh Trọng Nhân,1
3535,Bùi Nguyễn Hoài Dung,0
3536,Nguyễn Minh Tâm,1
3537,Phạm Mỹ Duyên,0
3538,Nguyễn Hà Duy Khang,1
3539,Trần Lý Minh Thư,0
3540,Ngô Văn Khải,1
3541,Lưu Sỹ Hoàng,1
3542,Huỳnh Xuân Chi,0
3543,TrỊnh Minh Hiếu,1
3544,Lê Thành Duy,1
3545,Nguyễn Thị Thủy Ngân,0
3546,Phan Thị Thu Kiều,0
3547,Nguyễn Thị Diễm Hương,0
3548,Trần Hoàng Khang,1
3549,Hoàng Thị Bích Phương,0
3550,Trần Ngọc Ánh Tuyết,0
3551,Trần Tiến Đạt,1
3552,Nguyễn Đăng Tân,1
3553,Trần Xuân Vương,1
3554,Mai Thanh Tân,1
3555,Lê Duy Việt Anh,1
3556,Nguyễn Sỹ Khiêm,1
3557,Vũ Văn Quyền,1
3558,Lê Hoàng Trung,1
3559,Nguyễn Tấn Bảo,1
3560,Lê Thị Ngọc Nhi,0
3561,Quách Diệu Linh,0
3562,Huỳnh Trần Mỹ Hoàng,0
3563,Nguyễn Hải Huỳnh,1
3564,Đoàn Văn Minh Tâm,1
3565,Nguyễn Thanh Hoàng,1
3566,Trương Thị Tú Quyên,0
3567,Trần Hoàng Long,1
3568,Trần Thế Vinh,1
3569,Nguyễn Thế Vịnh,1
3570,Võ Hoàng Trúc,1
3571,Trần Duy Khang,1
3572,Vũ Văn Kiên,1
3573,Đỗ Thanh Quyền,1
3574,Nguyễn Văn Thế,1
3575,Đoàn Hoàng Gia,1
3576,Nguyễn Thành Danh,1
3577,Trương Đắc Triều,1
3578,Nguyễn Thúy Lan Vy,0
3579,Phùng Quốc Tuấn,1
3580,Lê Công Tuấn,1
3581,Nguyễn Hoàng Ân,1
3582,Trần Trọng Nghĩa,1
3583,Vũ Xuân Sơn,1
3584,Đoàn Nhất Định,1
3585,Kiên Thị Thi Đa,0
3586,Nguyễn Thị Cường,0
3587,Hoàng Đình Hậu,1
3588,Chu Trần Nhật Linh,1
3589,Lục Thị Kim Nga,0
3590,Phạm Duy Khanh,1
3591,Trần Kim Thanh,0
3592,Nguyễn Thị Thanh Hoài Thư,0
3593,Bùi Nhật Phương Quỳnh,0
3594,Lê Thị Khánh Uyên,0
3595,Nguyễn Văn Minh,1
3596,Lê Thanh Hòa,1
3597,Hồ Minh Cường,1
3598,Nguyễn Trung Hậu,1
3599,Bùi Trung Tín,1
3600,Nguyễn Thị Mỹ Nhung,0
3601,Nguyễn Thị Bích Phương,0
3602,Hà Thị Kiều Phương,0
3603,Nguyễn Quốc Thái,1
3604,Nguyễn Thị Mai Thương,0
3605,Nguyễn Lê Anh Tú,1
3606,Nguyễn Ngọc Quynh,1
3607,Nguyễn Đình Cương,1
3608,Nguyễn Thị Thu Quyên,0
3609,Nguyễn Thành Nhân,1
3610,Võ Thị Như Lài,0
3611,Phan Kim Hoàn,0
3612,Phan Thị Liễu,0
3613,Phan Thị Bình,0
3614,Nguyễn Trần Quốc Đạt,1
3615,Văn Thanh Trúc,0
3616,Cao Thị Thùy Uyên,0
3617,Đỗ Phương Thảo,0
3618,Nguyễn Thị Vy,0
3619,Vũ Hồng Phi,1
3620,Nguyễn Thái Dương,1
3621,Vũ Nguyễn Ngọc Hân,0
3622,Nguyễn Thanh Hoài,1
3623,Trần Công Bằng,1
3624,Nguyễn Phan Hoàng Đức,1
3625,Lê Minh Thông,1
3626,Lương Văn Việt,1
3627,Trần Thị Phước Thuận,0
3628,Đàng Năng San U,1
3629,Tào Quang Tuyền,1
3630,Nguyễn Tấn Quân,1
3631,Nguyễn Trần Xuân Vy,0
3632,Đặng Đình Thiện,1
3633,Lý Trung Quân,1
3634,Dương Linh Chi,0
3635,Nguyễn Quốc Trưởng,1
3636,Danh Hứa Huệ Như,0
3637,Võ Quốc Thanh,1
3638,Nguyễn Tấn Thành,1
3639,Phạm Thành Luân,1
3640,Nguyễn Vũ Tuyết Thiên Thu,0
3641,Trương Thị Minh Trình,0
3642,Nguyễn Thị Vân Anh,0
3643,Đỗ Thị Cẩm Tú,0
3644,Vi Hữu Đức,1
3645,Bùi Ngọc Sơn,1
3646,Nguyễn Huỳnh Đan Thanh,0
3647,Nguyễn Minh Kha,1
3648,Vũ Phạm Thanh Phú,1
3649,Nguyễn ThuỶ Tiên,0
3650,Nguyễn Trung Kiên,1
3651,Nguyễn Văn Tĩnh,1
3652,Chu Phi Hùng,1
3653,Hồ Văn Quân,1
3654,Nguyễn Trần Phương Hà,0
3655,Nguyễn Thị Diễm Thu,0
3656,Nguyễn Thị Quỳnh Phương,0
3657,Trương Thanh Lực,1
3658,Võ Thành Đô,1
3659,Trần Nguyễn Trọng Nhân,1
3660,Nguyễn Thị Quỳnh,0
3661,Bùi Phạm Tường Vi,0
3662,Lê Tuấn Thanh,1
3663,Võ Trường Nhân,1
3664,Trần Minh Cường,1
3665,Nguyễn Thị Bích Châm,0
3666,Huỳnh Phương Vy,0
3667,Nguyễn Bảo Duy,1
3668,Lê Hoàng Long,1
3669,Nguyễn Minh Nhật,1
3670,Mai Anh,0
3671,Nguyễn Hoàng Thái Dương,1
3672,Trần Huy Hoàng,1
3673,Nguyễn Thị Ngọc Diễm,0
3674,Phan Hữu Quí,1
3675,Bùi Tấn Lộc,1
3676,Nguyễn Thành Bãng,1
3677,Bùi Thị Thiên Kim,0
3678,Dương Thị Như Ý,0
3679,Nguyễn Tấn Nghĩa,1
3680,Nguyễn Huỳnh Tấn Thành,1
3681,Nguyễn Vũ Trường Hải,1
3682,Lý Thị Bé,0
3683,Nguyễn Hoài Sang,1
3684,Hồ Trọng Khôi,1
3685,Cao Phan Xuân Quí,1
3686,Bùi Huệ Trân,0
3687,Trần Quang Thanh Hưng,1
3688,Nguyễn Quốc Việt,1
3689,Nguyễn Xuân Chiến,1
3690,Liêu Thi,0
3691,Phạm Bích Ngọc,0
3692,Trần Văn Nam,1
3693,Nguyễn Hoàng Nam,1
3694,Phạm Thị Phượng,0
3695,Đào Đại Dương,1
3696,Nguyễn Thị Phương Thảo,0
3697,Phan Duy Nam,1
3698,Nguyễn Thị Diễm Chi,0
3699,Lê Quốc Thanh,1
3700,Lê Quang Nhật,1
3701,Tô ĐỔng Dĩnh,1
3702,Hoàng Lê Thái Anh,1
3703,Nguyễn Hữu Đức,1
3704,Nguyễn Lê Công Thoại,1
3705,Mai Ngọc Tuyết Nhung,0
3706,Đỗ Đăng Thương,1
3707,Đồng Huỳnh Như,0
3708,Đinh Lê Hương,0
3709,Trần Hữu Hiền,1
3710,Đặng Thị Sim,0
3711,Lại Thị Thanh Tuyền,0
3712,Lê Thị Xuân,0
3713,Nguyễn Thanh An,1
3714,Đặng Tiểu Nhi,0
3715,Nguyễn Bích Trâm,0
3716,Phan Thị Kim Hồng,0
3717,Trần Lê Huỳnh Thư,0
3718,Trần Minh Khánh,1
3719,Trần Hải Ninh,1
3720,Nguyễn Hồng Ngọc,0
3721,Dương Thị Ngọc Trâm,0
3722,Nguyễn Cẩm Bình,1
3723,Phan Gia Phương,1
3724,Lê Thành An,1
3725,Trần Minh Hưng,1
3726,Cao Phươ An,1
3727,Nguyễn Thị KiỀu Nga,0
3728,Khưu Thị Thùy Linh,0
3729,Lê Hoàng Khang,1
3730,Nguyễn Lê Thị Thủy Tiên,0
3731,Nguyễn Thị Hồng Thảo,0
3732,Lê Đức Trí,1
3733,Lê Thị Mai,0
3734,Huỳnh Công Mạnh,1
3735,Bùi Khánh Duy,1
3736,Nguyễn Tấn Tài,1
3737,Ngô Hiếu Tín,1
3738,Hồ Duy Thiện Trung,1
3739,Nguyễn Thị Ngọc Hiền,0
3740,Vũ Nhật Trường,1
3741,Diệp Huỳnh Ngọc My,0
3742,Tống Đức Duy,1
3743,Ngô Nguyễn Tuấn Kiệt,1
3744,Nguyễn Văn Hùng,1
3745,Vũ Lưu Quỳnh,0
3746,Nguyễn Thị Bích Ngọc,0
3747,Trần Ngọc Thiện,1
3748,Trần Hoàng Anh,1
3749,Trần Lê Mỹ Hằng,0
3750,Lương Hồng Sơn,1
3751,Dương Gia Bảo,1
3752,Nguyễn Thị Ngọc Huyền,0
3753,Nguyễn Anh Đô,1
3754,Đào Phương Thảo,0
3755,Nguyễn Thị Quỳnh Ngân,0
3756,Phan Lê Huy,1
3757,Bùi Thị Bích Hiền,0
3758,Ngô Văn Lem,1
3759,Phạm Phúc Nguyên,1
3760,Nguyễn Văn Đồng,1
3761,Trần Thị Băng Nhi,0
3762,Đặng Trọng Quốc Việt,1
3763,Lê Mạnh Kha,1
3764,Nguyễn Mai Uyển Nhi,0
3765,Đào Như Thịnh,1
3766,Cil Trin,0
3767,Hoàng Giang Thiên Ân,1
3768,Huỳnh Thị Ngọc Ngân,0
3769,Nguyễn Quang Nam,1
3770,Nguyễn Quốc Đạt,1
3771,Lê Đại Hận,1
3772,Mai Hoàng Vũ,1
3773,Nguyễn Thành Thiện,1
3774,Nguyễn Thanh Khiêm,1
3775,Hồ Dương Tuấn Đạt,1
3776,Trương Thoại Quỳnh Anh,0
3777,Nguyễn Minh Quân,1
3778,Trương Quốc An,1
3779,Nguyễn Vương Chiến,1
3780,Nguyễn Ngọc Linh,1
3781,Lâm Nguyễn Quang Huy,1
3782,Đặng Minh Tuấn,1
3783,TrưỢng Thị Hiếu Kiên,0
3784,Nguyễn Thị Yến Xuân,0
3785,Châu Văn Sang,1
3786,Nguyễn Thị Trúc Phượng,0
3787,Nguyễn Huy Vân,1
3788,Hồ Mai Trúc Phương,0
3789,Nguyễn Thanh Tài,1
3790,Cao Thị Hải Yến,0
3791,Phan Thị Lộc Hân,0
3792,Phú Phương Uyên,0
3793,Lê Thị Xuân Thùy,0
3794,Trần Thị Yến Nhi,0
3795,Phan Thị Yến Nhi,0
3796,Nguyễn Trường Giang,1
3797,Nguyễn Huỳnh Lê,0
3798,Nghiêm Chí Bảo,1
3799,Nguyễn Xuân Khiêm,1
3800,Đặng Văn Đức,1
3801,Mạc Thị Thu Tuyền,0
3802,Cao Nguyễn Gia Phượng Hoàng,0
3803,Đỗ Thế Dương,1
3804,Trần Hải Hiếu,1
3805,Nguyễn Minh Hiếu,1
3806,Thạch Điền An,1
3807,Nguyễn Thị Hạnh Duyên,0
3808,Nguyễn Bảo Khương,1
3809,Phan Thị Diễm My,0
3810,Nguyễn Ngọc Nhật,1
3811,Trịnh Thuỵ Trang Đài,0
3812,Nguyễn Thị Trang,0
3813,Lưu Minh Hoàng,1
3814,Nguyễn Thị Ngọc Tài,0
3815,Vi Nguyễn Như Quỳnh,0
3816,Nguyễn Huy Khang,1
3817,Trần Tiến Đạt,1
3818,Lê Thị Hạnh,0
3819,Lê Thị Hà,0
3820,Dương Thu Uyên,0
3821,Võ Thị Ngọc Ánh,0
3822,Võ Thanh Phong,1
3823,Nguyễn Nhật Minh,1
3824,Nguyễn Lan Phol,0
3825,Nguyễn Thị Như Sương,0
3826,Ngô Điền,1
3827,Nguyễn Trần Nhân Khoa,1
3828,Hà Huỳnh Kim,0
3829,Đinh Hữu Trí,1
3830,Cao Ngọc Hân,0
3831,Phan Thị Lý,0
3832,Lưu Viễn Phú,1
3833,Nguyễn Huỳnh Thanh Thùy,0
3834,Lưu Vĩnh Thái,1
3835,Kiều Như Thuận,0
3836,Nguyễn Huy Tùng,1
3837,Trần Hữu Lâm,1
3838,Kiều Trọng Tín,1
3839,Lê Công Danh,1
3840,Phạm Lê Kim Dung,0
3841,Nguyễn Hoàng Nhật Hà,0
3842,Phạm Tuấn Khang,1
3843,Đặng Bảo Hân,1
3844,Ngô Thị Thanh Diệu,1
3845,Nguyễn Thế Đạt,1
3846,Nguyễn Trọng Hữu,1
3847,Hồ Nhật Trường,1
3848,Huỳnh Gia Huy,1
3849,Nguyễn Hoàng Nghĩa,1
3850,Lương Lý Công Thắng,1
3851,Trình Ngọc Phước,1
3852,Lưu Thị Mỹ Linh,0
3853,Phạm Thanh Sơn,1
3854,Nguyễn Kim Huyền,0
3855,Lê Đình Vôn,1
3856,Bùi Minh Thư,0
3857,Nguyễn Trần Quang Minh,1
3858,Nguyễn Thành Nội,1
3859,Phạm Nguyễn Hoàng Yến,0
3860,Võ Nguyên Quân,1
3861,Nguyễn Trọng Bình,1
3862,Huỳnh Thị Minh Thư,0
3863,Đỗ Thị Thúy Hằng,0
3864,Trần Thị Mỹ Duyên,0
3865,Phạm Quỳnh Trâm,0
3866,Mai Phạm Phúc Hưng,1
3867,Võ Thị Thơ,0
3868,Trần Bá Hiến,1
3869,Trần Thị Trâm Anh,0
3870,Nguyễn Đinh Thùy,0
3871,K Đăng Định,1
3872,Nguyễn Thiện Long,1
3873,Phạm Thị Như Quỳnh,0
3874,Nguyễn Thị Tươi,0
3875,Lê Đăng Thanh,1
3876,Huỳnh Trần Thủy Tiên,0
3877,Lê Văn Bá,1
3878,Phan Nguyễn Phi Yến,0
3879,Lê Anh Tuấn,1
3880,Nguyễn Thúy Quỳnh,0
3881,Lê Thị Quỳnh Như,0
3882,Nguyễn Thu Hiền,0
3883,Trương Huỳnh Quang Ngọc Rạng,1
3884,Nguyễn Trường Giang,1
3885,Nguyễn Đức Lộc,1
3886,Đào Thanh Tùng,1
3887,Nguyễn ĐẮc Sơn,1
3888,Đào Trịnh Thùy Linh,0
3889,Mai Thị Thu Hằng,0
3890,Bùi Đoàn Quang Tân,1
3891,Hoa ng Quang Vu,1
3892,Trần Thị Anh Thư,0
3893,Nguyễn Chánh Hoàng,1
3894,Hoàng Anh Thắng,1
3895,Nguyễn Trần Duy Khương,1
3896,Nguyễn Văn Duy,1
3897,Bùi Thị Ly,0
3898,Trần Ngọc Bình Minh,0
3899,Đặng Minh Khôi,1
3900,Võ Hoàng Nhân,1
3901,Nguyễn Khánh Tiên,0
3902,Bùi Thị Phương Trinh,0
3903,Võ Tấn Đạt,1
3904,Trần Thị Hạnh,0
3905,Đặng Minh Tuấn,1
3906,Nguyễn Thuận,1
3907,Đặng Hoàng Anh,1
3908,Nguyễn Thị Cẩm Nhung,0
3909,Trần Thị Ny,0
3910,Nguyễn Trung Tín,1
3911,Trương Hữu Cương,1
3912,Nguyễn Thị Kim Quỳnh,0
3913,Hồng Thế Tiến,1
3914,Trần Thị Mỹ Thuận,0
3915,Trần Hữu Thắng,1
3916,Trần Kim Ngọc Ánh,0
3917,Nguyễn Thị Kim,0
3918,Đinh Thanh Ngọc,1
3919,Lê Thị Cẩm Ly,0
3920,Nguyễn Vũ Khánh Lam,0
3921,PhạmVăn Pháp,1
3922,Lê Hoàng Lan,0
3923,Phan Minh Sang,1
3924,Huỳnh Phước Thạnh,1
3925,Lê Hoàng Long,1
3926,Đoàn Thị Thùy Duyên,0
3927,Ngô Xuân Tùng,1
3928,Nguyễn Hoàng Minh,1
3929,Lưu Văn Tuấn,1
3930,Lê Thị Mỹ Chi,0
3931,Kiều Quang Nghĩa,1
3932,Tôn Thế Anh,1
3933,Dương Phan Thị Thiên Trang,0
3934,Dư Nguyễn Tiểu Quỳnh,0
3935,Đào Xuân Linh,1
3936,Nguyễn Tấn Sang,1
3937,Nguyễn Ngọc Thắm,0
3938,Châu Khắc Đạt,1
3939,Đồng Trần Bảo Đại,1
3940,Liêu Thị Cúc,0
3941,Nguyễn Gia Khởi,1
3942,Nguyễn Văn Hạnh,1
3943,Nguyễn Thành Tiến,1
3944,Phạm Thị Ngọc Huyền,0
3945,Đoàn Thị Kim Thảo,0
3946,Phạm Văn Chánh,1
3947,Trần Lê Huy,1
3948,Ngô Ngọc Quang,1
3949,Phan Huỳnh Đức,1
3950,Nguyễn Quốc Đạt,1
3951,Lê Phước Vũ,1
3952,Đỗ Bích Thủy,0
3953,Đặng Hoàng Tấn,1
3954,Đào Thị Thu Ánh,0
3955,Lê Kim Phượng,0
3956,Phạm Lê Thành,1
3957,Hà Lê Thạch Thảo,0
3958,Phạm Quốc Hùng,1
3959,Nguyễn Thị Thanh Mai,0
3960,Đinh Trung Hiếu,1
3961,Phạm Thị Lành,0
3962,Đặng Vũ Luân,1
3963,Bùi Vũ Thảo My,0
3964,Cao Văn Tài,1
3965,Nguyễn Thị Mỹ Tiên,0
3966,Phạm Thanh Giàu,1
3967,Mai Văn ChưỞng,1
3968,TrỊnh Thanh Sang,1
3969,Đặng Thị Thủy,0
3970,Phạm Thị Kiều Tuyên,0
3971,Huỳnh Lê Hiếu Nam,1
3972,Trương Hoài Duy,1
3973,Cáp Văn Trí,1
3974,Nguyễn Minh Quân,1
3975,Phạm Hoàng Tân,1
3976,Lê Nguyễn Thảo Nhiên,0
3977,Võ Gia Hân,0
3978,Nguyễn Thành Luân,1
3979,Nguyễn Thái Anh,1
3980,Nguyễn Nhật Duy,1
3981,Nguyễn Trần Thanh Tú,1
3982,Trần Thị Ngọc Phương,0
3983,Huỳnh Thị Anh Thư,0
3984,Nguyễn Thị Thắm,0
3985,Võ Thanh Huy,1
3986,Trần Thị Huyền Trang,0
3987,Lê Thanh Hiếu,1
3988,Hoàng Thị Như Quỳnh,0
3989,Nguyễn Thị Thuận,0
3990,Lê Tuấn Anh,1
3991,Nguyễn Doãn Phương Nam,1
3992,Lê Thị Kim Đào,0
3993,Dư Công Hoàng Anh,1
3994,TrỊnh Thị Ngọc Thảo,0
3995,Lâm Văn Thiệt,1
3996,Nguyễn Thị Quỳnh Như,0
3997,Hoàng Trung Thành,1
3998,Trần Nhã Khanh,0
3999,Sy Quốc Tú,0
4000,Nguyễn Băng Tuyền,0
4001,Lê Thị Ngân,0
4002,Ngô Thị Hồng Cẩm,0
4003,Võ Thị Thu Hiền,0
4004,Nguyễn Thị Anh Thư,0
4005,Lê Quang Thắng,1
4006,Lê Hoàng Linh,1
4007,Lê Ngọc Phương Linh,0
4008,Nguyễn Thị Hồng Nhung,0
4009,Nguyễn Thị Trúc Ly,0
4010,Nguyễn Bá Nam,1
4011,Nguyễn Thùy Dung,0
4012,Nguyễn Văn Thanh,1
4013,H Lum Niê,0
4014,Văn Công Trường Khang,1
4015,Phạm Nguyễn Phương Trinh,0
4016,Lê Hải Minh,1
4017,Lê Cẩm Tú,0
4018,PhạmVăn Nam,1
4019,Nguyễn Nhật Nam,1
4020,Trần Huỳnh Lâm,1
4021,Bùi Bảo Hưng,1
4022,Lê Văn Hào,1
4023,Trương Phượng Luyến,1
4024,Nguyễn Ngọc Yến,0
4025,Hồ Thiện Phúc,1
4026,Nguyễn Thị Thùy Trang,0
4027,Trần Thị Bích Ngọc,0
4028,Bùi Hoàng Thái Huy,1
4029,Phạm Công Huy,1
4030,Trần Sĩ Phú,1
4031,Trượng Quốc Doãn,1
4032,Phùng Thị Mỹ Vân,0
4033,Nguyễn Kiều Mỵ,0
4034,Đàm Thị Hồng Thắm,0
4035,Lâm Ngọc Nhật Minh,1
4036,Bùi Thanh Tiển,1
4037,Mã Thị Viên,0
4038,Trần Hoàn,1
4039,Lữ Thị Trúc Mai,0
4040,Nguyễn Thị Thùy An,0
4041,Bạch Tuyết Trinh,0
4042,Trương Đức Vinh,1
4043,Nguyễn Thị Thùy Trang,0
4044,Trần Quang Vũ,1
4045,Lê Thị Hồng Thắm,0
4046,Nguyễn Thị Kim Cương,0
4047,Đinh Nguyên Khánh,1
4048,Nguyễn Phan Đức Sâm,1
4049,Nguyễn Vủ Linh,1
4050,Lý Minh Hoàng,1
4051,Nguyễn Đình Quyết,0
4052,Nguyễn Hồ Quang,1
4053,Cao Liêm Chánh,1
4054,Bùi Văn Duy,1
4055,Võ Huỳnh Anh Kiệt,1
4056,Trần Quốc Thịnh,1
4057,Nguyễn Thị Bích HỘp,0
4058,Nguyễn Công Hoàng,1
4059,Nguyễn Xuân Hiếu,1
4060,Đỗ Quang Ấn,1
4061,Nguyễn Trần Hoàng Hiếu,1
4062,Võ Trần Hồng Cơ,0
4063,Trần Mai Ngọc Thiệu,1
4064,Trác Lê Anh,1
4065,Nguyễn Thị Minh Thư,0
4066,Lâm Hoàng Kha,1
4067,Nguyê Phi Ân,1
4068,Nguyễn Thiện Sua,1
4069,Mai Văn Chuẩn,1
4070,Trần Thị Giang,0
4071,Nguyễn Minh Tuấn,1
4072,Lê Diễm My,0
4073,Nguyễn Phượng Phương Uyên,0
4074,Nguyễn Thị Hạnh,0
